================================================================================
AUDITORIA EXTERNA DE CONFORMIDADE ESTRUTURAL POSIX DO ZIP (G4.2 V8)
================================================================================
Arquivo Auditado: pacote_tecnico_g4_2_v8.zip
Tamanho Físico: 1,512,410 bytes
SHA-256: 2a9240faf60a6db32b38a85b9873d057f379035f41b9bb1149ce782804f06cbf
Total de Entradas: 103
Total de Arquivos: 78
Total de Diretórios: 25
================================================================================

INSPEÇÃO DETALHADA DAS ENTRADAS POSIX NO PACOTE:
--------------------------------------------------------------------------------
Tipo   | Modo   |   Tamanho | Nome no ZIP
FILE   | 644    |      8570 | apps/api/test/wearables/concurrency-compensation.spec.ts
FILE   | 644    |      4178 | apps/api/test/wearables/fit-binary-validation.spec.ts
FILE   | 644    |      5171 | apps/api/test/wearables/fit-normalizer.spec.ts
FILE   | 644    |      1788 | apps/api/test/wearables/fit-worker-supervisor.spec.ts
FILE   | 644    |      1641 | apps/api/test/wearables/pseudonymization.spec.ts
FILE   | 644    |      5236 | apps/api/test/wearables/storage.spec.ts
FILE   | 644    |       546 | apps/api/tsconfig.json
FILE   | 644    |    411833 | diff_g4_2_v8.patch
FILE   | 644    |      4472 | docker-compose.staging.yml
FILE   | 644    |      3517 | docs/adr/001-utc-timestamp-strategy.md
FILE   | 644    |      9020 | docs/runbooks/staging_deploy_wearables.md
FILE   | 644    |    507861 | package-lock.json
FILE   | 644    |       358 | package.json
--------------------------------------------------------------------------------
ATESTADO FORMAL DE CONFORMIDADE POSIX:
  [OK] 100% das entradas gravadas com create_system == 3 (UNIX)
  [OK] Zero caminhos com barras invertidas (\)
  [OK] Zero caminhos absolutos ou sequências de escape ('..')
  [OK] Diretórios e scripts .sh com permissão estrita 0755
  [OK] Arquivos regulares com permissão estrita 0644
  [OK] Verificação de integridade pós-fechamento sem paradoxo de autorreferência
================================================================================
